id,name,external_star,address_id,business_date,starttime,fintime,bestmenu_id,franchise,internal_star,restaurant_type
1,신풍식당,0,1207,null,null,null,null,0,,
2,삼우식당,5.0,711,null,null,null,25,0,,
3,완산정,2.8,125,"월,화,수,목,금,토,일",00:00,24:00,43,0,,
4,향도장,4.3,1447,"월,화,수,목,금,토,일",10:00,21:30,883,0,,
5,열정,5.0,76,"월,화,수,목,금,토,일",00:00,24:00,1033,0,,
6,닭발 매운맛에 미쳐,4.3,1509,null,null,null,751,0,,
7,또바기식당,3.5,742,"월,화,수,목,금,토,일",00:00,24:00,71,0,,
8,엔조 파스타&피자,4.3,514,"화,수,목,금,토,일",11:00,21:00,371,0,,
9,진미락,4.7,603,null,null,null,445,0,,
10,봉천동진순자김밥,2.7,1307,"월,화,수,목,금,토",08:00,23:00,285,1,,
11,대호아구집,4.0,203,"월,화,수,목,금,토,일",10:00,23:00,156,0,,
12,일점사,3.6,799,"월,화,수,목,금,토,일",14:00,01:00,490,0,,
13,금산삼계탕,0,831,null,null,null,null,0,,
14,만복국수,3.7,310,"월,화,수,목,금,토,일",11:30,23:50,30,1,,
15,홍콩반점0410 관악구청점,1.7,662,"월,화,수,목,금,토",11:00,22:20,969,1,,
16,마포소금구이,4.7,1953,"월,화,수,목,금,토,일",11:00,22:00,323,0,,
17,신부산회집,3.8,1691,null,null,null,null,0,,
18,행운동조개,4.4,1544,"화,수,목,금,토,일",15:00,02:00,263,0,,
19,낙성식당,4.3,2229,"월,화,수,목,금,토,일",07:00,21:30,273,0,,
20,하우림,4.0,1,null,null,null,141,0,,
21,갈매기조나단,3.0,857,null,null,null,824,0,,
22,삼우바베큐,4.7,2054,null,null,null,802,0,,
23,부림식당,3.0,1375,"월,화,수,목,금,토,일",00:00,24:00,605,0,,
24,포마토,1.5,420,null,null,null,null,0,,
25,만다린,3.7,687,null,null,null,null,0,,
26,백상갈비,3.7,1272,null,null,null,null,0,,
27,목포부부아구찜,2.0,2171,null,null,null,156,0,,
28,대작,1.8,636,"월,화,수,목,금,토",15:00,23:50,null,0,,
29,사천푸드,2.8,58,null,null,null,854,0,,
30,볏짚구이 이야기,3.7,310,"월,화,수,목,금,토,일",15:00,02:00,995,0,,
31,멍텅구리,0,219,null,null,null,null,0,,
32,옛날순대국,5.0,713,null,null,null,null,0,,
33,삼두삼계탕,3.0,2210,null,null,null,null,0,,
34,화정족발,0,360,"월,화,수,목,금,토,일",15:00,03:00,205,0,,
35,롯데리아 봉천점,1.9,568,"월,화,수,목,금,토,일",08:00,23:00,196,1,,
36,버드나무,0,92,null,null,null,null,0,,
37,풍성구이,5.0,201,null,null,null,844,0,,
38,정금바베큐통삼겹,5.0,655,null,null,null,null,0,,
39,요리요리,1.0,571,null,null,null,null,0,,
40,국회루,2.8,1333,null,null,null,733,0,,
41,스탑싸인,3.6,713,null,null,null,808,0,,
42,고향주물럭,0,1890,null,null,null,241,0,,
43,당곡기사식당,3.0,1725,null,null,null,617,0,,
44,영구키친,4.9,1767,"월,수,목,금,토,일",11:00,22:00,60,0,,
45,낙지마을해물구이,3.3,269,"월,화,수,목,금,토,일",11:00,23:30,533,0,,
46,로데오,3.4,2101,"월,화,수,목,금,토,일",10:30,19:30,null,0,,
47,뜸들이다 서울대입구역점,3.6,753,"월,화,수,목,금,토,일",10:30,20:30,949,0,,
48,풍년곱창,4.5,538,"월,화,수,목,금,토,일",17:00,02:00,186,0,,
49,왕돈까스왕냉면 서울대역점,2.7,1918,"월,화,수,목,금,토,일",00:00,24:00,295,1,,
50,옛골생고기,5.0,2146,null,null,null,null,0,,
51,uncle-B,3.6,988,null,null,null,667,0,,
52,해태식당,4.2,814,"월,화,수,목,금,토,일",11:00,22:00,736,0,,
53,장터국밥,4.3,815,"월,화,수,목,금,토,일",11:00,23:00,108,0,,
54,불티나 식당,0,1376,null,null,null,null,0,,
55,꼴통치킨,3.0,1034,"월,화,수,목,금,토,일",13:00,02:00,820,0,,
56,숙이네생선구이,5.0,1307,null,null,null,238,0,,
57,푸른목장,3.2,1765,"월,화,수,목,금,토,일",10:30,24:00,null,0,,
58,옥돌집,3.3,783,"월,화,수,목,금,토,일",00:00,24:00,null,0,,
59,풍천장어,5.0,271,null,null,null,null,0,,
60,털보네,5.0,2274,null,null,null,782,0,,
61,개구쟁이,0,1049,null,null,null,null,0,,
62,일미식당,0,604,null,null,null,null,0,,
63,이태리부대찌개 낙성대점,3.9,1025,"월,화,수,목,금,토,일",11:00,22:00,617,1,,
64,푸다기,4.0,375,"월,화,수,목,금,토,일",16:30,04:00,null,0,,
65,목포아구찜,2.0,2070,null,null,null,156,0,,
66,안집,4.1,560,"월,화,수,목,금,토",11:30,21:30,695,0,,
67,킹크랩대게한상,2.0,1850,"월,화,수,목,금,토,일",12:00,22:20,null,0,,
68,홍푸차이,3.4,966,"월,화,수,목,금,토",11:00,21:00,20,0,,
69,낙양호프,0,565,null,null,null,null,0,,
70,바우네나주곰탕 봉천점,3.3,1054,"월,화,수,목,금,토,일",00:00,24:00,199,1,,
71,본전순대국,3.5,1826,"월,화,수,목,금,토,일",08:00,20:00,414,0,,
72,배할머니네파절이삼겹살,3.9,260,"월,화,수,목,금,토,일",10:00,24:00,289,0,,
73,본래순대 낙성대점,4.4,1418,"월,화,수,목,금,토,일",09:30,01:00,572,1,,
74,서울삼족탕,5.0,666,null,null,null,1038,0,,
75,유가네닭갈비,2.6,1853,"월,화,수,목,금,토,일",11:00,23:00,null,1,,
76,황금짜장,4.2,706,"월,화,수,목,금,토,일",10:00,21:00,357,0,,
77,북촌손만두 서울대입구역점,2.6,1088,"월,화,수,목,금,토,일",11:00,22:00,null,1,,
78,로향양꼬치,3.9,2285,"월,화,수,목,금,토,일",12:00,02:00,74,0,,
79,태능숯불갈비,2.6,1237,null,null,null,739,0,,
80,홍매황궁쟁반짜장,1.9,2145,"월,화,수,목,금,토,일",09:30,20:40,704,0,,
81,오징어나라,3.3,1736,null,null,null,null,1,,
82,상도늘보리 낙성대점,5.0,1025,"월,화,수,목,금,토,일",11:00,22:00,null,1,,
83,차오멘짬뽕,5.0,355,"월,화,수,목,금,토,일",11:00,22:00,null,0,,
84,함흥냉면,3.8,9,"월,화,수,목,금,토,일",10:00,22:00,22,0,,
85,이삭토스트,3.2,668,"월,화,수,목,금",11:00,00:55,907,1,,
86,보보,0,528,null,null,null,null,0,,
87,니라이카나이,5.0,992,null,null,null,null,0,,
88,조춘식동갑이네,4.4,971,"화,수,목,금,토,일",10:30,23:30,null,1,,
89,라밥LABAB 낙성대,1.9,1010,"월,화,수,목,금,토,일",00:00,24:00,null,0,,
90,조마루뼈다귀,3.1,1699,"월,화,수,목,금,토,일",00:00,24:00,null,0,,
91,한솥,4.4,1033,"월,화,수,목,금,토",08:30,21:00,400,1,,
92,안동장,2.9,27,null,null,null,661,0,,
93,황소곱창,2.0,2227,"월,화,수,목,금",16:00,02:00,586,1,,
94,성민,3.8,1846,"월,화,수,목,금,토,일",14:00,02:00,1026,0,,
95,신의주찹쌀순대,2.9,1410,"월,화,수,목,금,토,일",00:00,24:00,null,1,,
96,제일숯불갈비,5.0,344,null,null,null,null,0,,
97,갯벌낙지,4.0,1175,null,null,null,239,0,,
98,청티엔,3.3,1319,"월,화,수,목,금,토,일",11:00,22:00,661,0,,
99,얼큰수제비해물칼국수,4.7,888,"화,수,목,금,토,일",10:30,15:30,null,0,,
100,칸꼬시,0,254,null,null,null,null,0,,
101,유천칡냉면,2.8,674,"월,화,수,목,금,토,일",09:00,21:00,1067,1,,
102,이대감명품막창,3.5,1074,"화,수,목,금,토,일",15:00,24:00,821,0,,
103,라화쿵부 서울대샤로수점,3.0,1522,"월,화,수,목,금,토,일",11:00,23:00,313,1,,
104,할리스커피,2.0,157,"월,화,수,목,금,토,일",00:00,24:00,237,1,,
105,다빈,2.3,2127,"월,화,수,목,금,토,일",09:00,24:00,727,0,,
106,청국장과보리밥,4.2,104,"월,화,수,목,금,토,일",11:00,21:30,836,1,,
107,김명자굴국밥,5.0,807,null,null,null,null,0,,
108,고향집,4.6,1126,"월,화,수,목,금,토,일",14:00,21:00,705,0,,
109,장추추어탕,2.3,1986,null,null,null,982,0,,
110,낙성대점미스터보쌈5379,3.0,2272,"월,화,수,목,금,토,일",11:30,00:30,822,1,,
111,김밥천국,2.0,2008,null,null,null,null,1,,
112,종로빈대떡,3.0,760,null,null,null,null,0,,
113,와돈,5.0,1718,null,null,null,433,0,,
114,불광옥,4.4,209,"화,수,목,금,토,일",11:30,23:30,638,0,,
115,만두와김밥,2.7,594,null,null,null,782,0,,
116,우리지금만나,4.7,910,"월,화,수,목,금",17:00,03:00,167,0,,
117,BBQ 청룡점,1.0,1983,"월,화,수,목,금,토,일",12:00,00:30,973,0,,
118,장수촌,5.0,1978,null,null,null,10,0,,
119,훈담,3.7,1485,"월,화,수,목,금,토",11:00,22:00,810,0,,
120,황토방,4.0,1818,"월,화,수,목,금,토",10:00,21:30,723,0,,
121,남원추어탕,5.0,1886,null,null,null,38,0,,
122,도노텀블 보라매점,3.8,1708,"월,화,수,목,금",08:00,23:00,667,1,,
123,버블캐슬,0,42,null,null,null,null,0,,
124,바지락손칼국수,0,2007,null,null,null,null,0,,
125,목포회센타,3.6,1134,"화,수,목,금",17:00,24:00,275,0,,
126,봉황식당,0,1781,null,null,null,null,0,,
127,광시생고기,3.0,1758,null,null,null,null,0,,
128,가마솥,3.6,395,"월,화,수,목,금,토,일",11:00,21:00,671,0,,
129,갯바위,3.8,2275,"월,화,수,목,금,토",11:00,20:00,455,0,,
130,구울락,4.8,1992,null,null,null,1,0,,
131,로향,3.9,732,"월,화,수,목,금,토,일",12:00,02:00,74,0,,
132,행복한밥상,5.0,30,null,null,null,null,0,,
133,맘스터치 서울대입구역점,2.1,1475,"월,화,수,목,금,토,일",10:00,22:30,null,1,,
134,돼지한마당,4.3,686,null,null,null,null,0,,
135,연탄초벌구이집,5.0,1902,"월,화,수,목,금,토,일",16:00,02:00,390,0,,
136,목포홍탁,0,1887,null,null,null,null,0,,
137,바지락칼국수,5.0,1516,null,null,null,null,0,,
138,두산호프,0,480,null,null,null,null,0,,
139,산골안 순대국,4.3,1910,null,null,null,414,0,,
140,옥천민물매운탕,4.6,224,"월,화,수,목,금,토,일",10:00,22:00,null,0,,
141,훈이네해장국,4.5,236,null,null,null,375,0,,
142,장터생고기,4.7,1448,"월,화,수,목,금,토",09:00,21:00,null,0,,
143,황칠나라 풍년옥,3.6,557,"월,화,수,목,금,토,일",10:00,22:00,984,0,,
144,이고집쭈꾸미,5.0,434,"월,화,수,목,금,토,일",11:30,24:00,176,0,,
145,춘원식당,4.4,14,"월,화,수,목,금,토,일",10:30,22:00,1007,0,,
146,안주마을,0,152,null,null,null,null,0,,
147,삼오집,5.0,782,null,null,null,null,0,,
148,만리장성,4,1131,"월,화,수,목,금,토,일",10:00,21:00,661,0,,
149,물고기학교,4.3,1082,null,null,null,null,0,,
150,한양갈비,3.1,384,null,null,null,635,0,,
151,데일리 봉천점,5.0,1002,null,null,null,null,1,,
152,모베터 블루스,5.0,1283,"월,화,수,목,금,토,일",19:00,02:00,null,0,,
153,표태룡의 우성각,2.9,1990,"월,수,목,금,토,일",10:30,20:30,661,0,,
154,일로카페,5.0,1909,"월,화,수,목,금",08:00,21:00,667,0,,
155,피자와 치킨의 러브레터,4.0,2014,"월,화,수,목,금",14:00,00:30,359,1,,
156,전주식당,5.0,2147,null,null,null,94,0,,
157,막걸리전당,4.0,496,"월,화,수,목,금,토,일",17:00,02:00,234,0,,
158,봉이전,3.0,1309,"월,화,수,목,금,토,일",14:00,02:00,119,0,,
159,일번지식당,0,890,null,null,null,null,0,,
160,정담,1.0,41,null,null,null,null,0,,
161,정가,3.5,2034,"월,화,수,목,금,토,일",11:30,21:30,1068,0,,
162,퓨전 요리 주점 유객주,4.9,757,null,null,null,634,0,,
163,속초 오징어 어시장,0,1039,null,null,null,null,0,,
164,홍콩반점0410 낙성대역점,3.7,1177,"월,화,수,목,금,토,일",11:00,22:00,969,1,,
165,원양참치,5.0,476,null,null,null,null,0,,
166,너랑나랑,0,644,null,null,null,null,0,,
