id,city,district,road,building_num,floor,location
1,서울특별시,관악구,관악로15길,23,null,설입
2,서울특별시,서대문구,연세로7안길,2,null,신촌
3,서울특별시,서대문구,연세로7길,14,null,신촌
4,서울특별시,동작구,성대로2길,7,null,숭입
5,서울특별시,서대문구,연세로2가길,22,null,신촌
6,서울특별시,서대문구,연세로11길,32,null,신촌
7,서울특별시,관악구,남부순환로,1909,null,설입
8,서울특별시,관악구,봉천로,597,null,설입
9,서울특별시,관악구,봉천로,586,null,설입
10,서울특별시,관악구,관악로16길,16,null,설입
11,서울특별시,관악구,국회단지27길,15,null,설입
12,서울특별시,관악구,은천로,28,1층,설입
13,서울특별시,관악구,보라매로2길,8,null,설입
14,서울특별시,관악구,관악로,212,null,설입
15,서울특별시,관악구,솔밭로,15-1,null,설입
16,서울특별시,관악구,은천로,114,null,설입
17,서울특별시,관악구,봉천로23나길,59,1층,설입
18,서울특별시,서대문구,명물길,14,null,신촌
19,서울특별시,동작구,상도로15길,131,null,숭입
20,서울특별시,관악구,남부순환로,1727-8,null,설입
21,서울특별시,서대문구,연세로7길,40,null,신촌
22,서울특별시,동작구,성대로29길,1,null,숭입
23,서울특별시,서대문구,연세로7안길,42,null,신촌
24,서울특별시,서대문구,연세로4길,30,null,신촌
25,서울특별시,동작구,양녕로26길,26,null,숭입
26,서울특별시,동작구,상도로,180,null,숭입
27,서울특별시,관악구,남부순환로,1786,null,설입
28,서울특별시,동작구,상도로47길,4,null,숭입
29,서울특별시,관악구,인헌길,54,null,설입
30,서울특별시,관악구,보라매로3길,29,null,설입
31,서울특별시,관악구,봉천로,616,null,설입
32,서울특별시,관악구,남부순환로,1929-16,null,설입
33,서울특별시,관악구,당곡길,49,null,설입
34,서울특별시,관악구,관악로14길,22,null,설입
35,서울특별시,관악구,당곡길,22,null,설입
36,서울특별시,관악구,중앙1길,10,null,설입
37,서울특별시,관악구,장군봉1길,49,null,설입
38,서울특별시,관악구,관악로14길,94,null,설입
39,서울특별시,서대문구,연세로7길,21,null,신촌
40,서울특별시,관악구,낙성대로,10,1층,설입
41,서울특별시,관악구,청룡3길,21,null,설입
42,서울특별시,관악구,남부순환로246나길,24,null,설입
43,서울특별시,관악구,인헌길,49,null,설입
44,서울특별시,관악구,낙성대로,22-1,null,설입
45,서울특별시,관악구,양녕로,66,null,설입
46,서울특별시,서대문구,신촌로,129,null,신촌
47,서울특별시,동작구,상도로67길,19,null,숭입
48,서울특별시,관악구,은천로,50,null,설입
49,서울특별시,관악구,관악로,237,null,설입
50,서울특별시,서대문구,연세로12길,27,null,신촌
51,서울특별시,동작구,양녕로27길,8,null,숭입
52,서울특별시,동작구,상도로,366,2층,숭입
53,서울특별시,관악구,양녕로,23,null,설입
54,서울특별시,관악구,쑥고개로,48,null,설입
55,서울특별시,관악구,장군봉1길,23,null,설입
56,서울특별시,관악구,봉천로,425,1층,설입
57,서울특별시,서대문구,연세로,29,null,신촌
58,서울특별시,관악구,관악로13길,25,null,설입
59,서울특별시,서대문구,신촌로,83,2층,신촌
60,서울특별시,서대문구,연세로4길,42-3,null,신촌
61,서울특별시,서대문구,신촌로,87-4,4층,신촌
62,서울특별시,관악구,남부순환로,1901,null,설입
63,서울특별시,서대문구,연세로7안길,34-1,null,신촌
64,서울특별시,동작구,상도로61길,32,null,숭입
65,서울특별시,관악구,인헌3길,8,null,설입
66,서울특별시,서대문구,연세로11길,27,null,신촌
