id,name,isSoup,isSpicy,isSweet,isHot,isMeat,isNoodle,isRice,isBread
1,순대국밥,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
2,한돈목살(150g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
3,곱창 (2인분),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
4,수육 (1인분),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
5,HOT 크리스피 베이크,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
6,무한차돌부채살말이 (1인),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
7,평양냉면,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
8,순살 치킨 (소),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
9,소고기 쌀국수,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE
10,"추천
누룽지 닭한마리",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
11,우동,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE
12,굴비백반,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
13,풍천민물장어(1인분),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,단호박크림파스타,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE
15,단뽀뽀 오므라이스,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
16,바닐라 까눌레,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
17,앞다리살한마리(2~3인이상),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
18,닭강정 (특대) +콜라 (대),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
19,부채살 찹스테이크,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
20,모듬사시미,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
21,광어숙성회(중),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
22,육회모듬,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
23,시래기 코다리찜(소소),FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,설맥치킨,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
25,생삼겹살 (180g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
26,곤드레밥,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
27,선봉관 곰탕(보통),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE
28,광어초밥 (10ps),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE
29,숯불 소금막창(1인분),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
30,삼겹숙주볶음,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
31,대구막창(150g),FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
32,조기매운탕,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
33,광어회,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
34,옛날돈까스,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE
