id,name,external_star,address_id,business_date,starttime,fintime,bestmenu_id,franchise,internal_star,restaurant_type
1,신풍식당,0,178,null,null,null,null,False,,
2,삼우식당,5.0,1397,null,null,null,350,False,,
3,완산정,2.8,2281,"월,화,수,목,금,토,일",00:00,24:00,68,False,,
4,향도장,4.3,1258,"월,화,수,목,금,토,일",10:00,21:30,83,False,,
5,열정,5.0,1564,"월,화,수,목,금,토,일",00:00,24:00,785,False,,
6,닭발 매운맛에 미쳐,4.3,329,null,null,null,530,False,,
7,또바기식당,3.5,1557,"월,화,수,목,금,토,일",00:00,24:00,779,False,,
8,엔조 파스타&피자,4.3,380,"화,수,목,금,토,일",11:00,21:00,573,False,,
9,진미락,4.7,1164,null,null,null,157,False,,
10,봉천동진순자김밥,2.7,2284,"월,화,수,목,금,토",08:00,23:00,209,True,,
11,대호아구집,4.0,913,"월,화,수,목,금,토,일",10:00,23:00,500,False,,
12,일점사,3.6,1756,"월,화,수,목,금,토,일",14:00,01:00,726,False,,
13,금산삼계탕,0,2146,null,null,null,null,False,,
14,만복국수,3.7,1986,"월,화,수,목,금,토,일",11:30,23:50,972,True,,
15,홍콩반점0410 관악구청점,1.7,6,"월,화,수,목,금,토",11:00,22:20,63,True,,
16,마포소금구이,4.7,1687,"월,화,수,목,금,토,일",11:00,22:00,334,False,,
17,신부산회집,3.8,2119,null,null,null,null,False,,
18,행운동조개,4.4,1333,"화,수,목,금,토,일",15:00,02:00,512,False,,
19,낙성식당,4.3,1168,"월,화,수,목,금,토,일",07:00,21:30,301,False,,
20,하우림,4.0,1717,null,null,null,26,False,,
21,갈매기조나단,3.0,1354,null,null,null,824,False,,
22,삼우바베큐,4.7,1052,null,null,null,658,False,,
23,부림식당,3.0,2189,"월,화,수,목,금,토,일",00:00,24:00,835,False,,
24,포마토,1.5,2054,null,null,null,null,False,,
25,만다린,3.7,1988,null,null,null,null,False,,
26,백상갈비,3.7,1742,null,null,null,null,False,,
27,목포부부아구찜,2.0,1298,null,null,null,500,False,,
28,대작,1.8,797,"월,화,수,목,금,토",15:00,23:50,null,False,,
29,사천푸드,2.8,1541,null,null,null,275,False,,
